0.012000000002444722,-0.0163400154561,-0.00838567037135,-0.529748916626,-0.847950637341,0.0,0.0,0.0,0.0329202711582,0.370502710342,9.92456436157
0.020000000004074536,-0.016298763454,-0.00809349864721,-0.52975410223,-0.847950935364,0.0,0.0,0.0,0.0365115739405,0.356736034155,9.91977596283
0.05000000000291038,-0.0163378957659,-0.00845525879413,-0.529747068882,-0.847951054573,0.0,0.0,0.0,0.0281318686903,0.371101260185,9.93114852905
0.059000000001105946,-0.0168910399079,-0.00834195688367,-0.529748082161,-0.847940802574,0.0,0.0,0.0,0.0371101275086,0.374094009399,9.94730949402
0.07900000000518048,-0.0170933697373,-0.00835964363068,-0.529747188091,-0.847937047482,0.0,0.0,0.0,0.0383072271943,0.376488208771,9.95329475403
0.09900000000197906,-0.0168776139617,-0.00835062656552,-0.529747962952,-0.847941040993,0.0,0.0,0.0,0.0377086773515,0.374692559242,9.93414115906
0.11800000000221189,-0.0161891318858,-0.00924988556653,-0.529731750488,-0.847955107689,0.0,0.0,0.0,0.0125695588067,0.369305610657,9.91678333282
0.14199999999982538,-0.0162553079426,-0.00877789407969,-0.529740691185,-0.847953438759,0.0,0.0,0.0,0.0149637600407,0.366911411285,9.90720653534
0.158000000003085,-0.0164705906063,-0.00843414012343,-0.529746890068,-0.847948729992,0.0,0.0,0.0,0.0203507132828,0.358531713486,9.9173822403
0.1790000000037253,-0.0165999550372,-0.00802656263113,-0.529753923416,-0.847945809364,0.0,0.0,0.0,0.0371101275086,0.3699041605,9.92755699158
0.22500000000582077,-0.0164347793907,-0.00868149194866,-0.529741585255,-0.847950339317,0.0,0.0,0.0,0.0341173745692,0.364517211914,9.94850635529
0.2430000000022119,-0.0167351216078,-0.00796983484179,-0.529753863811,-0.847943663597,0.0,0.0,0.0,0.0389057770371,0.363320112228,9.91678333282
0.2430000000022119,-0.0163792558014,-0.00886406004429,-0.529737472534,-0.847952067852,0.0,0.0,0.0,0.00478840339929,0.364517211914,9.93952846527
0.2580000000016298,-0.0164974182844,-0.00856085959822,-0.529742836952,-0.847949504852,0.0,0.0,0.0,0.0311246216297,0.367509961128,9.94252109528
0.2790000000022701,-0.0168625097722,-0.00842253211886,-0.529745101929,-0.847942352295,0.0,0.0,0.0,0.0179565120488,0.360327363014,9.94850635529
0.2989999999990687,-0.0165803954005,-0.00923628825694,-0.529730319977,-0.847948729992,0.0,0.0,0.0,0.0185550637543,0.378283858299,9.93354225159
0.31700000000273576,-0.0166532043368,-0.00902071688324,-0.529734253883,-0.847947120667,0.0,0.0,0.0,0.0418985299766,0.368707060814,9.92516326904
0.33699999999953434,-0.0166547261178,-0.00838042329997,-0.529746294022,-0.847946226597,0.0,0.0,0.0,0.0341173745692,0.368707060814,9.92456436157
